ID,自由記述,感情スコア,授業評価スコア
26301,予習課題の存在を忘れてしまったことがあまりよろしくないことだと反省しています。,-1.0,3.46
91432,復習を怠るとテストで点数取れません。,0.0,3.51
67339,板書しないとレポート解けないです,0.0,3.63
8037,高校で物理を学んだ人へ。油断してると足下をすくわれます。,0.0,3.73
22582,自分で勉強しないと、理解できない。,-1.0,3.23
52560,数学が難しくて理解が追いつかなかった。,-1.0,3.71
93641,哲学に興味があったのですが、この授業で学習する意欲をそがれました。 授業においては、先生の声が聞きずらく、板書は教科書を写しただけです。また、授業アンケートの自分に対する良い意見ばかりを20～30分話して自己満足をする姿も見受けられました。 かなり苦痛な授業でした。 有意義な大学生活を過ごしたい方は履修しないことを推奨します。,-1.0,2.0
8630,勉強しないと無理です。,0.0,3.8
9344,計算ミスが命取りになる。,0.0,3.48
71169,運動の機会だった レポートつらい,0.0,3.47
75890,何を喋っているのかも伝わりにくかったし、ひとつ一つの授業のスピードが早く質問等もする時間がないのでとても難しかった。課題だけ多く、なんの意味があるのだろうと思ってしまった。,-1.0,3.43
17401,十分な勉強をしないと全くついていけなくなる。,0.0,2.9
82633,レポート期限に1組と2組で差がありすぎます。 レポートが大きな評価対象でありながら、 期限に大きな差があることは非常にきつかったです。,-1.0,3.0
91568,出席とる時間が異常に長い時がある。,-1.0,3.27
21374,授業を集中せずに受けるとどんどん置いていかれたので後悔しました。,-1.0,3.4
95149,これからの社会の在り方について考えさせられる講義内容であった。技術の発展により、ロボットが意思を持つ未来が来ると考えると恐ろしいです。,1.0,3.49
54406,貧困問題は深刻である。なぜならば、貧困者の生活が困難になり、環境にも影響を及ぼすということを理解できました。,1.0,3.54
9191,試験の解答の欄が変でした,-1.0,3.66
81721,小テストの配点が高いので、取りこぼすと定期テストで高得点を取らない限り単位の取得は難しい。,-1.0,2.88
3254,ネット環境などで提出物が送れなかったりする,-1.0,3.52
62695,少し進むのが早かった。スライドを写そうと思っても、早くて書き写せない。また、先生の話とスライドを書く時間が一緒なので話がほとんど聞けなかった,-1.0,3.22
89027,教科書を買っておかないと詰みます。詰みました,0.0,3.45
75374,授業で置いて行かれないようにする,0.0,3.28
91633,正解のない実験をするのが苦痛で難しかった,-1.0,3.3
28246,予習をしないと席がありません,-1.0,3.48
84127,自分が全て正しいと思いすぎていると思います。,-1.0,3.51
38134,"テストは学期内に2回あります。どちらも持ち込みはすべて可です。スマホやPC,iPadなどが持ち込めます。だからといって、対策を怠ると時間内にテストを終わらせることができなくなってしまうかも知れません。",0.0,3.4
84515,ちゃんと質問しに行かないと再履修になる,-1.0,3.2
84521,勉強しないと受かりません。,0.0,3.2
12774,他の人と協力して何かをするということがなかったので残念でした．,-1.0,3.34
49300,内容が非常に難しかった。,-1.0,3.23
18369,意見として、中間テスト前に予習動画が消されていたのでテスト前の確認ができませんでした。予習を定着させるためと理由でしたが、真面目にやっている人からするととても不便なことだと思いました。,-1.0,3.6
70385,listening が難しすぎる。 advancedとfreshmanでクラス分けするのやめてほしい、難易度が高いので確実にfreshmanの人よりGPAが下がってしまう。 なぜ難易度が違うのにGPAでは同じ価値の評価なの？,-1.0,3.56
62827,振り返りノートは毎回きちんと書いておかないと痛い目見ます,-1.0,3.6
12919,オンラインだったのでなんとも言えません。,-1.0,3.05
67126,授業中の声が小さく聞こえない。ボソボソ喋っているので何を言っているのか分からない。テストの点数での評価しかないが、テストのレベルが高すぎる。,-1.0,3.42
58330,小テストの時間が短い。 アクセスが集中する→提出に時間がかかる→期限に間に合わない可能性がある せめてその日中や翌日にすれば、提出する時家だったり他の教室だったりするので避けれるのかと思いました。,-1.0,3.38
96828,この講義だけ提出期限が違って他の講義とのリズムがあわなくて提出忘れがかなり多かった、自己責任だと理解していますが他の人とあわせてほしかったです。,-1.0,3.35
75585,集中しないと聞き逃します。,-1.0,3.4
32650,問題の答えがないから勉強したくても答えがあってるかわからなかった。,-1.0,3.21
17165,交流においての微分積分が分かりにくかった。,-1.0,3.67
46488,偏った思考の話で、人によっては不快に感じます。,-1.0,3.29
24751,内容が難しく、あまり理解することが出来なかった,-1.0,3.35
49071,解法を理解するまで勉強してください この再履修は地獄です,-1.0,3.18
10999,英語の歌詞が聞き取れなかった,-1.0,3.22
4952,あまりかかわる機会がなかったため本質の理解ができなかった。,-1.0,3.56
61515,授業のスピードが速くノート取れない,-1.0,3.42
97744,動画がほとんど止まって見れなかったので基本的にMoodleから資料をチェックするだけでした。 小テストはそこそこですが、これで単位を落とされたらたまったもんじゃありません。 しかも最終レポートが毎授業で提示した参考文献を自らテストのために事前投資をしなければいけないのなら第一回目に示しておくべきでしょう。はっきり言って無意味な時間でした。,-1.0,3.39
68400,黒板に図を書くときに体で全く見えない時がありました。そのため、図を説明しても理解が追いつかない時がありました,-1.0,3.13
33492,話が難しく、理解できないことがあった,-1.0,3.33
37135,集中しないとわからなくなります。,-1.0,3.31
38572,中間なし。期末だけで評価、範囲が広すぎるので、スケジュール管理は必須。 内容も難しい。ちゃんと勉強しなければ、単位落とす,-1.0,3.34
33813,授業課題の提出期限日が今まで日曜までだったのにある日急に金曜になってたことがあって間に合わなかった。悔しかった。,-1.0,3.58
26065,教科書の予習をしていかないと講義についていけません。,-1.0,3.53
67113,声が小さいし、ボソボソ喋るため、聞こえにくい。 学生を馬鹿にするいい方は聞いていて気分を害するものだった。,-1.0,3.42
46766,課題をやらないとたった一回の授業で終了するかもしれません,-1.0,3.6
88477,一回で進む量が少なすぎるように感じられます。,-1.0,3.2
58676,授業中に席を立ってはいけません,0.0,3.38
93596,授業中の声が非常に聞き取りづらい、板書が全く整理されていないため理解しづらい。授業内容が理解できなかったためほとんど自学で勉強していた。,-1.0,3.07
38209,ろ先生だけ再テストないので、気をつけてください。即死入ってます。,-1.0,3.68
53746,予習していかないとついていけない。,-1.0,3.27
7272,授業で学習した内容と課題の内容が異なりすぎて、大変でした。,-1.0,3.44
67140,耳よくないと勉強すらできない,-1.0,3.42
82191,プリントを見てずっとその内容を述べるだけでどこが重要なのかあまりわからなかった,-1.0,3.04
47050,大学に入ってから1番難しかった。授業内でもなかなか理解することが困難だった。,-1.0,3.2
51512,先生によって授業の質が全く違ったため、とてもやりづらさを感じた。,-1.0,3.04
8494,遠隔授業ではなかなか伝わってこずとても難しかったです。,-1.0,3.58
36819,実験1つ1つの内容を理解することが難しかった。,-1.0,3.42
40380,話しを聞かないと分からんくなる,-1.0,3.5
40643,大学の講義とレポートの問題のレベルが別物で全然分からない 証明を教えてくださるのも良いがシンプルに解き方を教えて欲しい 質より量というが、レポートの問題量が多すぎて中身を全く理解出来ない悪循環になっているのを理解して欲しい,-1.0,3.15
63819,自分は定理を理解できていないから数学が解けないことが分かった。,-1.0,3.44
30437,この科目のテスト勉強は、一週間前から始めても手遅れです。,-1.0,3.75
26689,話がまとまっていないように感じて聞きにくかった。,-1.0,3.0
25820,研究室訪問のメールの確認をしてもらえなかった。,-1.0,3.7
40662,解答の間違えがあるのは止めて欲しい。,-1.0,3.15
49025,日頃から勉強してないとテストで痛い目に遭います,0.0,3.65
85083,今の大学生に伝わらない例えが多いです。(E缶など),-1.0,3.22
34925,授業中常に話しており、スライドも全て黒文字であったため、どこか重要なのかが分かりづらかった。,-1.0,3.04
17190,分からないところをほったらかしにすると後悔します,-1.0,3.67
62283,自分のペースで勉強することができたが、一度毎週の受講を止めると、持続しなくなり、自己管理するのが難しかった。,-1.0,3.44
9951,授業出席条件が途中から答えがあっていないと✖になっていて、出席すら思えないのかと率直に驚いた。,-1.0,3.0
88878,そもそも使う道具が壊れているため実験がまったく進まない。道具を整理したり壊れているものを分けておいたりしても次使うときごちゃごちゃになっていて迷惑だった。なので予習をしておいても順調に実験が進むことがなかった。,-1.0,3.3
48564,授業内レポートが多いので出席しないと点数はありません,0.0,3.7
31789,教科書の内容を読んでるだけだったので分かりにくかった。,-1.0,2.87
25358,とても内容が難しく、ついて行くのが大変だった,-1.0,3.4
36837,レポートは溜めないようにすることが大事です。私は最終的に6個溜まっていて、めちゃくちゃきつかったです。,0.0,3.42
58738,myfitが重くログインできない時があったので課題提出の期限を伸ばして欲しい。,-1.0,3.39
55276,コンピュータなのでひとつ間違うと全部やり直しになるので注意です,-1.0,3.79
24772,予習復習を行わないとテストで点数が取れず確実に再履修になるので予習復習を絶対行ったほうがいいと思います。,0.0,3.35
49150,授業時間外の学習時間に関する回答の平均が、想定されている240分間よりもかなり短いものでした。授業内容を十分には理解できず、難しいと感じた方が多かったのではないでしょうか。,-1.0,3.18
32729,講義を通して、自分で問題を解くというよりは、ソフトを利用してＰＣに解かせるという感じだった。 講義の初めのほうに少し説明があって、あとは自分でやってくださいって言われる。 質問をしても、不十分な解説ばかりで、追いつかない,-1.0,3.2
39134,公式などの理解をしっかりと理解しないといけないと感じました。,0.0,3.5
96402,高校で化学を習っていない人には少し難しい範囲もあります。,-1.0,3.25
97463,高校で生物を勉強してない人は途中少しきつくなるかもしれません。,-1.0,3.3
5470,コバルト（Ⅲ）はわかるんですけど、どれがⅡとかⅠとかわからないです。,-1.0,3.36
95693,字が見えにくいときがありました。,-1.0,3.39
36858,しっかりと事前学習をする前提だと感じた。 高校の内容のようにうまくいかなかったので苦しかった。,-1.0,3.33
3746,レポートが難しかった。,0.0,3.54
76747,他の科目は座学が多いのでコミュニケーションを挟みながらの授業だったのが新鮮でした。楽しい講義だったので欠席が多くなってしまって残念です。,0.0,3.42
43762,専門単語や知識の理解が難しいと感じる面が多かった,0.0,3.37
64299,とりあえず課題をすべて終わらせてください。テストのときに困ります。,0.0,3.62
445,計算ミスなどの勿体ないミスに気を付ける。,0.0,3.31
21980,プログラム関係の就職を目指している人は避けて通れない教科です。,0.0,3.3
958,課題の締め切り日がとても短くて大変でした。,-1.0,3.42
8394,遠隔授業ということもあり、先生とのつながりを感じれることもなく、課題を提出しても何の反応もないのでいろんな不安を感じた。,-1.0,3.78
78284,姿勢、服装、授業態度で注意されたことがある人は要注意。これらのマナーに関する厳しさは全講義の中でもトップクラスに厳しいです。 授業ごとに短い感想文レポートを書かせられるので作文、小論文が得意な人には向いているかもしれません。,-1.0,3.36
82708,穴埋めしたところが分かりずらかったです。 レッドポインターが小さすぎて、どこを指しているか分からないことが多々ありました,-1.0,3.65
37619,初めて聞く単語、それらの数式があるから難しい。,-1.0,3.46
6667,自分の意見を短時間に整理して発表することの難しさを実感しました。,-1.0,3.73
51405,同じグループになった人とは積極的に話してレポートを進めておいた方がいいです。のちに大変な目に遭います。,-1.0,3.52
20701,受験以降英語にほぼ触れることがなかったので忘れていることばかりで大変だった。日頃から英語は勉強しないといけないと実感した。,0.0,3.18
50495,やり方や公式が分かってもどういう原理なのか細かいところまでを理解することができてない。,-1.0,3.53
25013,フーリエ変換とかを理解しておいた方がいい。難しい。,0.0,3.28
65430,書く時間が少し短いなと感じた。,-1.0,3.62
30343,とても難しいので頑張ってください。,0.0,3.5
10659,授業形態が何度か変わってわかりづらい部分があった。,-1.0,3.42
10261,課題の件は申し訳ございません。,0.0,3.45
16016,やる気がないと積みます。班員にも迷惑がかかるので、やる気ない方取らないように,0.0,3.77
82262,大学の数学は高校の数学に比べて理解するのが難しかった。εーδ論法が一番難しかった。,0.0,3.26
85749,分かりにくい 黒板の下に文字を書いていて見えない,-1.0,2.9
19376,お疲れさまでした。オンラインの授業は、大変だったと思います。 私自身、至らないこともたくさんあって、ご迷惑をおかけしました。 コメントをいただいたこと、今後の授業にも生かしていきたいと思います。,0.0,3.5
65076,新しく学ぶ事が多くとても難しかった。,0.0,3.64
4922,小テストのを解いて、提出するまでが30分程なのはとても怖かったです。 計算量が多くて、書く量も多いとき勉強していてもギリギリだったので、オンラインでの提出の時は、提出する時間を見込んで5分ほど長くした方がいいと思いました。,-1.0,3.45
79785,英語で授業を進めるので難しかったです。,0.0,3.5
84932,授業中に解かないならせめて答えは載せてほしい．,-1.0,3.05
67854,課題の量が多いので皆さん覚悟の準備をしておいて下さい,0.0,3.27
30103,積分因子が難しかったです。理解がなかなか出来なかった。,0.0,3.51
23804,初めてプログラミングをしたので難しかった。,0.0,3.6
19454,内容が難しかったです。,0.0,3.0
21953,難しい計算が多くて理解に苦労しました。,0.0,3.36
77646,内容が難しいので頑張ってください,0.0,3.63
85915,先生が作ったプログラムを打つだけじゃあまり理解できなかった,-1.0,3.27
84042,初めて見るものや触るもの、学ぶことばかりだったので大変だと感じた,0.0,3.69
3551,高校で物理をとっていなかったら、難しいです。,0.0,3.45
45517,中間テストなどがないため最初の内容を忘れてしまう,0.0,3.48
34708,期末テスト対策が何をすればいいのか分かりにくくきついです,-1.0,3.57
9628,なかなか自分の力であの授業を理解するのは難しかったです。とにかく難しい科目だなと思いました。,0.0,3.36
37635,一つの言語だけでなくいろいろなものを学んだので混ざって難しかった,0.0,3.51
55442,内容が結構難しかった。,0.0,3.6
84342,私は授業が終わってからの復習がしっかりと出来ていなくて、テスト勉強が大変で十分に出来なかったので日頃から予習と復習をする癖を付けたいと思います。,0.0,3.51
51302,講義で扱う文法のほとんどが中学生のときに学んだことばかりであまり自分の為にはならなかったという印象を受けた。また、リスニングに関しては高校レベルのものから実際に海外に行った際にも使えた表現も含まれていて個人的には充実していたと考える。全体的に授業進度が遅く、課題も簡単でやっていて大して意味のあるものではなかった。,-1.0,3.0
20080,予習復習をしっかり行わないと、内容がわからなくなります。,0.0,3.33
5062,途中でこの授業を取るのをやめてしまい申し訳ありませんでした。,0.0,3.31
11870,しかし今年は違います。音声ファイルを準備する段階で，何度も聞き直して貰えば最後は理解してもらえるようにと丁寧に作成するしかありません。 これは大変時間のかかる作業で，私自身も大変でしたが，皆さん達も，教室で質問できればどれだけ簡単かと感じる人は多かったのではないでしょうか？ 皆さん達の書き込んでくれたコメントには，分かりやすかったというものから，わかりにくかったというものまで，非常に幅広い感想が書かれています。 録音を聞いたり，教科書を読みながら演習問題を解くだけでは，基本的には自学自習と変わりませんから，なんのために高い授業料を払って大学に行っているのかと私だったら思います。 今年はまだ誰も経験したことのない非常事態だったということで勘弁していただくしかありませんが，この状態は可能な限り早く解決しなければならないと私は思っています。,-1.0,3.24
59577,ピ逃げはよくないです。,0.0,3.35
90143,テストがマジむずい。分からん。,-1.0,3.38
21952,授業プリントにある問題の解答解説ページが分かりにくい。,-1.0,3.36
11240,ノートが多すぎた。 図が書けない。,0.0,3.14
1336,エラーが出ていたのでそこを無くせばいいと思います。,0.0,3.53
45963,何を言ってるのか分からない時があった,0.0,3.27
7331,科目の中で一番難しかったです。前期で合格はまずないし自信がない科目でした。,0.0,3.78
73303,人によって出来る具合の差が大きい,0.0,3.5
37993,先生によってレポートの様式が異なっていたので統一して欲しい。様式が異なっているとレポート作成に時間がかかる。 しっかりしたレポートの様式が一つあれば十分だと思う。先生によって様式が異なっている意味が分からない。,0.0,3.6
15695,javaの課題が鬼ムズイ,0.0,3.56
3178,必修のなかで一番勉強しておかないとテストがきつい教科だと思います。,0.0,3.52
23100,レポートはこれから多々あるのでおろそかにできません,0.0,3.6
38275,課題は模範解答を先生がアップしてくれているので問題ないが、テストの難易度がとても高いので覚悟しておいてください。,0.0,3.73
28511,初回授業で資料は後日配布するとお話しされていましたが、資料が配布されないので最終レポートが不安です。,-1.0,3.45
72858,もう少し授業スピードあげても良いかもしれません,-1.0,3.22
89205,英会話が苦手だったので難しいと感じました,0.0,3.07
19209,出せなかった課題が沢山あり、すみません。,0.0,3.44
37017,マイクを使っていますが、あまりマイクに声が入ってない気がします。席が後ろだと前の学生がざわついていたら、聞き取りづらいことが少しありました。,-1.0,3.54
14882,授業は楽しかったがテストがやや難しかった,0.0,3.53
51365,ある程度の意味は感じることができたけれど、将来のことについて細かく考えられたかと言われると迷う部分があった。,0.0,2.96
78843,もう少しノートに書き写す時間が欲しいです。書き写してない状態で解説があるので聞き逃してしまう部分がありました。,-1.0,3.19
32699,分かりづらいので、数学苦手な人は大変,0.0,3.21
22667,大事なところなどを、重点的に教えてほしかったです、また、途中で先生の説明がとまることも多々あった,0.0,3.44
89616,テスト範囲が広すぎてテスト本番が怖いです。,0.0,3.0
19208,遠隔講義であったため、分からないことがあったときに質問がすぐできない状況が少し不便だった。,-1.0,3.44
44661,英語の資料が多かったため理解するのが少し難しかったです。,0.0,3.18
2654,要約が難しかったです。,0.0,3.25
10699,対面じゃないのでやりにくかった。 解析Ⅰよりも難しかった。,-1.0,3.0
64499,レポート作成が難しかった,0.0,3.57
67844,課題が多すぎるので減らして欲しい,0.0,3.27
25288,線形代数と解析の演習だったのでとくことが出来た。最後の問題が難しかったので解けない問題もあった。,0.0,3.56
75610,ノートは早めに取っておかないと後々大変なことになります。,0.0,3.4
80120,内容が少し難しかった。,0.0,2.83
64562,どんだけ勉強しても難しい時がある。,0.0,3.3
63648,一年後期で一番きつい授業なので頑張りましょう,0.0,3.43
35187,授業内容は難しくなかなか理解できない部分もあったが例えばを自分で考えてアウトプットしたり、先生の体験の話を聞いたりすることで分かることがあり、分かりやすかった。しかし、スライドのスピードが日によって違い少し早すぎてノートが間に合わないことがあった。,0.0,3.38
14926,遠隔授業ではやりずらい部分もあり、課題などが少々面倒だと感じることがありました。,0.0,3.33
7356,わかりやすかったが課題が大変だった,1.0,3.78
13703,高校と全然違くて難しいかったです,0.0,3.52
72394,課題のページと場所が変則的なため、毎回出席したほうがいい 特に、同じ講義をとっている友人がいない人はそれが顕著,0.0,3.66
97676,入学時とは違いオンライン授業に全く意欲が出ない。大学生活の時間の使い方も分からず自主的な学習とはいえ、自宅での学習はおろそかにしてしまう事がある。画面を通して授業をうける事がストレスになっているので対面授業がよかった。想い描いていた大学生活は何もなく、こんなにもストレスを抱えることになるとは思わなかった。後期から対面授業となるのかわからないが、前期で疎かにしてしまった勉学を取り戻す事ができるのかを知りたい。今更やり始めても追いつけず単位は取れないだろうなと諦めかけている。追いつけていない自分の現状にはらだたしく思う。,0.0,3.36
26006,予習をしっかりしないとついていけなくなるので、やるべき。,0.0,2.95
65709,論題についての課題は、下調べをしっかりしないと授業で困ると思います。,0.0,3.2
13312,議論をする難しさを知りました。,0.0,3.11
30686,計算ミスに気をつけてください,0.0,3.53
38595,マニアックすぎる。金属なんちゃらみたいな教科名にした方がいいと思う。大事なことは口でしか言いませんも意味がわからない。大事なら書いてもらってもいいですか？正直喋り方的に何を言いたいのか分からないことが多い。,-1.0,3.37
51824,よく話を聞いて置かなければなりません。,0.0,3.55
35712,全体的に良かったですが、時々先生の声がいきなり大きすぎて頭が痛くなります。,-1.0,3.44
5222,音声が機械だったので、聞き取りにくかったです。先生の声で授業を受けたかったです。,-1.0,3.3
91001,授業では、先生が黒板に重要なところをまとめてくれたのでとても良かったです。ただ、今回の小テストで時間が足りないところがあったので次は考慮をお願いいたします。,-1.0,3.43
24883,国府畔になるにつれて難しくなっていき大変でした。,0.0,3.45
21022,復習をしないと調査の種類や調査で使う道具が混乱する。,0.0,3.61
82494,問題だけ出されて回答や解き方の説明が生徒任せ。 質問に行けば答えてくれるのに授業で教えてくれないのは疑問です,0.0,3.12
90107,式の導入までがややこしい,0.0,3.42
10143,今までオンラインで授業を行っていたのに期末テストだけ対面となるのはあまり理解できない。期末を対面を行うのであれば後期はもちろん全面対面授業になるはずですが、後期もオンラインで行うとなった場合に今回の期末テストは感染のリスクが大きすぎるのではないかと思った。 他大学と本学のコロナへの対応し方が違っていすぎて、本学のコロナ感染に対する意識の低さを感じてしまった。中途半端に対面で授業やテストを行ったことが特にそう感じた。 具体的な他大学との対応の違いとしては授業をオンラインでやったのであれば期末もオンラインで行う、または代替レポートにするなどの措置をとっていたので本学もそのような動きを取ってほしかった。,-1.0,3.16
4180,授業動画の雑談などは良かったけれど、書き直しやミスなどの本当に余分な部分はカットして動画の長さをもう少し短くしてほしかったです。,-1.0,3.52
22322,課題のプリントで中心線と元々書かれている図形がずれていたりして少しやりづらかった。,0.0,3.7
18918,英語はとても難しかったです,0.0,3.55
95554,しっかり先生の話を聞いておいていかれないようにしてください。,0.0,3.36
73965,ちゃんと予習し、復習しなければなりません。,0.0,3.83
29773,計算がかなり多くて大変でした。,-1.0,3.5
97489,多面的に物事を捉えることが少し難しかったです。,0.0,3.6
7570,予習、完成レポートの提出とても大変でした。けっこう、実験で苦戦したので、もっとスムーズにできたらよかったと思います。,-1.0,3.75
71269,体育館シューズは絶対に忘れちゃダメ,0.0,3.66
96597,動画作成お疲れさまでした。,0.0,3.42
73018,自分の体調管理を見直せる最後のチャンスかもしれません,1.0,3.5
45626,毎週きちんと勉強しましょう。 後で大変になります。,0.0,3.48
82512,研究の大変さがわかりました。,1.0,3.29
7997,週に２回授業があってペースが速いと思ったが大丈夫だった。高校とやっていることは変わらないが微分積分を用いて問題を解くので計算が大変だった。,1.0,3.73
75591,ノートの書き込みが大変です。 先生の話をしっかり聞いて書き込むページをメモした方がいいです！,0.0,3.4
29574,演習問題の解答や、解説動画などあれば授業資料などに公開して欲しいです。 欠席した時の演習問題を解こうにも解答が分からず困ることがありました。,-1.0,3.4
54243,講義を聞くだけでなく、自主的に予習して教科書を読み込まないと理解は出来ません。,-1.0,3.51
3740,レポート作りが大変だった。,-1.0,3.54
10398,とても難しいです。プリントだけでなく動画もほしいです。,-1.0,3.1
67083,暗記が多く大変だった。,-1.0,3.38
3838,物理現象を論理的に理解するのが大変だった。,0.0,3.64
91209,難しいので、しっかり復習が必要。,0.0,3.14
7749,洋楽を聞きとるのが難しかったです,0.0,3.5
77639,数学苦手なら難しいところが少しあるかも。極端に苦手じゃなければ大丈夫だと思う。,0.0,3.63
19427,授業や学期末での課題で忙しい中、ご回答、どうもありがとうございました。アンケート結果やいただいたコメントは、今後の授業にも活用させていただきます。 Formsの予習や授業動画を視聴するのは、大変だったと思います。どうもお疲れ様でした。 古川武史,1.0,3.33
81337,授業スピードが速くなったりするので少し大変だった,-1.0,3.08
25098,質問しても分かりずらかったです。,-1.0,3.5
42048,課題がたまに難しかったです。,0.0,3.37
38328,授業スピードが早くて大変だった。,-1.0,3.61
56975,後期おせわになりました。,1.0,3.52
18072,オンライン授業でしたが、Power Pointの資料が毎回配付されていたのでそこまで理解出来ないようなことはなかったです。ただ、教科書に記載されていない内容が時々あり、それらはwebなどで調べる必要があったので苦労しました。,-1.0,3.66
97254,とてもためになります。,1.0,3.64
25063,演習課題と中間及び期末テストで点数を取ること。演習課題は教科書や資料だけでは理解が不十分だと思うので、ネットや参考書を熟読することがおすすめかと(時間に余裕があれば)。意外に大変。,0.0,3.56
39718,定期的に細かい復習が必要になる。,0.0,3.38
21262,毎講義、具体的な目標を設定してから受講すると課題が早く終わると思います,0.0,3.65
31308,歴史は暗記するものだと考えていたけど、全て暗記するものではなかった,1.0,3.34
88015,この3ヶ月間お疲れ様でした。,0.0,3.54
72702,好き嫌いがはっきり分かれます,0.0,3.8
11106,電験理論の難しさが分かります。,0.0,3.0
36132,最初は簡単、後々難しい,0.0,3.62
42783,初めてプログラミングを行ったが感覚を掴むのが難しかった。,0.0,3.69
77705,小テストが定期的にあるので注意！,0.0,3.64
54700,テストが持ち込みありでも難しかったです,0.0,3.56
69091,しっかり話を聞いていないと難しいです。,0.0,3.8
6425,レポート作成が大変だった。,0.0,3.51
56853,課題の点数が意外と少ない。,0.0,3.63
42907,全くやったことがなくて、プログラミング得意な人に聞かないと全然わからないこともあった。,0.0,3.66
9615,パワーポイントのみでの理解が大変でしたが、自学の力が尽きました。,1.0,3.36
2463,コロナで対面授業が一度もなく先生から直接教わることがなかったがのが残念でした。,-1.0,3.2
3600,オンラインのため体を動かすといったような授業はあまり無かった。,-1.0,3.27
32639,授業の進捗が自分的にはとても速いと感じた。,-1.0,3.12
34327,知っておくと良い知識が得られるので履修する価値はありますが、理解が難しいところもあります。,1.0,3.55
12357,課題が大変なので頑張ってください。,0.0,3.42
51189,しっかりと勉強しないと単位落とします。,0.0,2.73
85535,レポートが大変だったです,0.0,3.45
26833,授業後の感想文が大変だった,0.0,3.11
39170,内容が多くて大変だった,0.0,3.51
63453,舐めていたらやばい講義,0.0,3.48
87072,1回目レポート出していないのですがどうすれば良いですか？,0.0,3.54
21021,きちんと授業を聞いていたら大丈夫だと思います。,0.0,3.61
76519,授業資料が多いので、管理がたいへん,0.0,3.5
81940,なかなか覚えることが多くて大変だった,0.0,3.67
65031,課題が難しかったです。,0.0,3.73
97265,毎回感想を書くけれどそんなに時間がかからない,0.0,3.64
5239,代謝のメカニズムがとても多くて理解が大変でした。,0.0,3.4
77295,行政について知る機会は中々ないのでためになった。,0.0,3.57
67481,最後が難しくなるので頑張ってください。,0.0,3.6
4160,予習も復習も同じくらい必要です。,0.0,3.2
55158,世界の歴史は難しかった。,0.0,3.54
9052,何個か難しい課題があったので苦戦しました。,0.0,3.4
42007,課題が非常に難しかった。,0.0,3.39
86313,授業中に書く量を減らして欲しいです,-1.0,3.48
13249,簿記を学ぶのが初めてだったので、先生の説明を聞いてもいまいちわからなかったです。,-1.0,3.15
41606,理解するのがとても大変でした。,-1.0,3.65
30407,いくつかわかりにくい場所あり少し大変でした。,0.0,3.52
30563,しっかり課題はだすこと。,0.0,3.4
7141,オンラインでグループの人と課題をこなすのが大変でした。,0.0,3.6
60064,ポスター制作大変です。,,3.6
82188,小テスト中ずっと歩き回っているため、少々気になってしまう,0.0,3.04
92156,時々聞き取れない時がある,-1.0,3.56
21972,課題が難しかったです。,0.0,3.3
55684,workと小テストを忘れ図にしましょう,0.0,3.5
68034,時間がとても少なかった,-1.0,3.54
16157,コロナ禍で感染が広がっている中通学するのは少し怖いです。,0.0,3.42
